ZEIT;RAUM;Reason;WERT
2008;33 Schuetzenhof;Birth surplus or deficit;19
2008;34 Dueesberg;Birth surplus or deficit;-47
2008;43 Hafen;Birth surplus or deficit;5
2008;44 Herz-Jesu;Birth surplus or deficit;-62
2008;45 Mauritz-Mitte;Birth surplus or deficit;35
2008;46 Rumphorst;Birth surplus or deficit;28
2008;47 Uppenberg;Birth surplus or deficit;-4
2008;51 Gievenbeck;Birth surplus or deficit;94
2008;52 Sentrup;Birth surplus or deficit;-21
2008;54 Mecklenbeck;Birth surplus or deficit;-27
2008;56 Albachten;Birth surplus or deficit;24
2008;57 Roxel;Birth surplus or deficit;32
2008;58 Nienberge;Birth surplus or deficit;0
2008;61 Coerde;Birth surplus or deficit;42
2008;62 Kinderhaus-Ost;Birth surplus or deficit;3
2008;63 Kinderhaus-West;Birth surplus or deficit;21
2008;68 Sprakel;Birth surplus or deficit;-2
2008;71 Mauritz-Ost;Birth surplus or deficit;-6
2008;76 Gelmer-Dyckburg;Birth surplus or deficit;10
2008;77 Handorf;Birth surplus or deficit;4
2008;81 Gremmendorf-West;Birth surplus or deficit;13
2008;82 Gremmendorf-Ost;Birth surplus or deficit;18
2008;86 Angelmodde;Birth surplus or deficit;-13
2008;87 Wolbeck;Birth surplus or deficit;-28
2008;91 Berg Fidel;Birth surplus or deficit;-33
2008;95 Hiltrup-Ost;Birth surplus or deficit;-21
2008;96 Hiltrup-Mitte;Birth surplus or deficit;-37
2008;97 Hiltrup-West;Birth surplus or deficit;37
2008;98 Amelsbueren;Birth surplus or deficit;-13
2009;11 Aegidii;Birth surplus or deficit;-7
2009;12 ueberwasser;Birth surplus or deficit;2
2009;13 Dom;Birth surplus or deficit;0
2009;14 Buddenturm;Birth surplus or deficit;-27
2009;15 Martini;Birth surplus or deficit;3
2009;21 Pluggendorf;Birth surplus or deficit;-47
2009;22 Josef;Birth surplus or deficit;37
2009;23 Bahnhof;Birth surplus or deficit;4
2009;24 Hansaplatz;Birth surplus or deficit;18
2009;25 Mauritz-West;Birth surplus or deficit;30
2009;26 Schlachthof;Birth surplus or deficit;15
2009;27 Kreuz;Birth surplus or deficit;41
2009;28 Neutor;Birth surplus or deficit;14
2009;29 Schloss;Birth surplus or deficit;-2
2009;31 Aaseestadt;Birth surplus or deficit;-15
2009;32 Geist;Birth surplus or deficit;14
2009;33 Schuetzenhof;Birth surplus or deficit;-24
2009;34 Dueesberg;Birth surplus or deficit;-42
2009;43 Hafen;Birth surplus or deficit;12
2009;44 Herz-Jesu;Birth surplus or deficit;-74
2009;45 Mauritz-Mitte;Birth surplus or deficit;27
2009;46 Rumphorst;Birth surplus or deficit;4
2009;47 Uppenberg;Birth surplus or deficit;25
2009;51 Gievenbeck;Birth surplus or deficit;54
2009;52 Sentrup;Birth surplus or deficit;-10
2009;54 Mecklenbeck;Birth surplus or deficit;-21
2009;56 Albachten;Birth surplus or deficit;9
2009;57 Roxel;Birth surplus or deficit;16
2009;58 Nienberge;Birth surplus or deficit;-14
2009;61 Coerde;Birth surplus or deficit;52
2009;62 Kinderhaus-Ost;Birth surplus or deficit;8
2009;63 Kinderhaus-West;Birth surplus or deficit;24
2009;68 Sprakel;Birth surplus or deficit;3
2009;71 Mauritz-Ost;Birth surplus or deficit;-19
2009;76 Gelmer-Dyckburg;Birth surplus or deficit;12
2009;77 Handorf;Birth surplus or deficit;-4
2009;81 Gremmendorf-West;Birth surplus or deficit;8
2009;82 Gremmendorf-Ost;Birth surplus or deficit;14
2009;86 Angelmodde;Birth surplus or deficit;-9
2009;87 Wolbeck;Birth surplus or deficit;-16
2009;91 Berg Fidel;Birth surplus or deficit;-15
2009;95 Hiltrup-Ost;Birth surplus or deficit;-5
2009;96 Hiltrup-Mitte;Birth surplus or deficit;-57
2009;97 Hiltrup-West;Birth surplus or deficit;35
2009;98 Amelsbueren;Birth surplus or deficit;-12
2010;11 Aegidii;Birth surplus or deficit;1
2010;12 ueberwasser;Birth surplus or deficit;-4
2010;13 Dom;Birth surplus or deficit;-2
2010;14 Buddenturm;Birth surplus or deficit;-35
2010;15 Martini;Birth surplus or deficit;0
2010;21 Pluggendorf;Birth surplus or deficit;-40
2010;22 Josef;Birth surplus or deficit;15
2010;23 Bahnhof;Birth surplus or deficit;4
2010;24 Hansaplatz;Birth surplus or deficit;38
2010;25 Mauritz-West;Birth surplus or deficit;48
2010;26 Schlachthof;Birth surplus or deficit;26
2010;27 Kreuz;Birth surplus or deficit;54
2010;28 Neutor;Birth surplus or deficit;10
2010;29 Schloss;Birth surplus or deficit;-7
2010;31 Aaseestadt;Birth surplus or deficit;-3
2010;32 Geist;Birth surplus or deficit;13
2010;33 Schuetzenhof;Birth surplus or deficit;34
2010;34 Dueesberg;Birth surplus or deficit;-33
2010;43 Hafen;Birth surplus or deficit;11
2010;44 Herz-Jesu;Birth surplus or deficit;-83
2010;45 Mauritz-Mitte;Birth surplus or deficit;29
2010;46 Rumphorst;Birth surplus or deficit;11
2010;47 Uppenberg;Birth surplus or deficit;-2
2010;51 Gievenbeck;Birth surplus or deficit;80
2010;52 Sentrup;Birth surplus or deficit;-23
2010;54 Mecklenbeck;Birth surplus or deficit;-26
2010;56 Albachten;Birth surplus or deficit;12
2010;57 Roxel;Birth surplus or deficit;35
2010;58 Nienberge;Birth surplus or deficit;-2
2010;61 Coerde;Birth surplus or deficit;46
2010;62 Kinderhaus-Ost;Birth surplus or deficit;16
2010;63 Kinderhaus-West;Birth surplus or deficit;40
2010;68 Sprakel;Birth surplus or deficit;-4
2010;71 Mauritz-Ost;Birth surplus or deficit;-4
2010;76 Gelmer-Dyckburg;Birth surplus or deficit;-1
2010;77 Handorf;Birth surplus or deficit;17
2010;81 Gremmendorf-West;Birth surplus or deficit;22
2010;82 Gremmendorf-Ost;Birth surplus or deficit;19
2010;86 Angelmodde;Birth surplus or deficit;2
2010;87 Wolbeck;Birth surplus or deficit;1
2010;91 Berg Fidel;Birth surplus or deficit;-9
2010;95 Hiltrup-Ost;Birth surplus or deficit;-4
2010;96 Hiltrup-Mitte;Birth surplus or deficit;-29
2010;97 Hiltrup-West;Birth surplus or deficit;36
2010;98 Amelsbueren;Birth surplus or deficit;11
2011;11 Aegidii;Birth surplus or deficit;-14
2011;12 ueberwasser;Birth surplus or deficit;4
2011;13 Dom;Birth surplus or deficit;-4
2011;14 Buddenturm;Birth surplus or deficit;-33
2011;15 Martini;Birth surplus or deficit;5
2011;21 Pluggendorf;Birth surplus or deficit;-36
2011;22 Josef;Birth surplus or deficit;24
2011;23 Bahnhof;Birth surplus or deficit;3
2011;24 Hansaplatz;Birth surplus or deficit;31
2011;25 Mauritz-West;Birth surplus or deficit;47
2011;26 Schlachthof;Birth surplus or deficit;11
2011;27 Kreuz;Birth surplus or deficit;65
2011;28 Neutor;Birth surplus or deficit;3
2011;29 Schloss;Birth surplus or deficit;-7
2011;31 Aaseestadt;Birth surplus or deficit;-13
2011;32 Geist;Birth surplus or deficit;-5
2011;33 Schuetzenhof;Birth surplus or deficit;41
2011;34 Dueesberg;Birth surplus or deficit;-39
2011;43 Hafen;Birth surplus or deficit;11
2011;44 Herz-Jesu;Birth surplus or deficit;-56
2011;45 Mauritz-Mitte;Birth surplus or deficit;31
2011;46 Rumphorst;Birth surplus or deficit;24
2011;47 Uppenberg;Birth surplus or deficit;27
2011;51 Gievenbeck;Birth surplus or deficit;107
2011;52 Sentrup;Birth surplus or deficit;-8
2011;54 Mecklenbeck;Birth surplus or deficit;-19
2011;56 Albachten;Birth surplus or deficit;2
2011;57 Roxel;Birth surplus or deficit;9
2011;58 Nienberge;Birth surplus or deficit;2
2011;61 Coerde;Birth surplus or deficit;61
2011;62 Kinderhaus-Ost;Birth surplus or deficit;-1
2011;63 Kinderhaus-West;Birth surplus or deficit;20
2011;68 Sprakel;Birth surplus or deficit;-6
2011;71 Mauritz-Ost;Birth surplus or deficit;3
2011;76 Gelmer-Dyckburg;Birth surplus or deficit;-1
2011;77 Handorf;Birth surplus or deficit;-1
2011;81 Gremmendorf-West;Birth surplus or deficit;-9
2011;82 Gremmendorf-Ost;Birth surplus or deficit;16
2011;86 Angelmodde;Birth surplus or deficit;-4
2011;87 Wolbeck;Birth surplus or deficit;-6
2011;91 Berg Fidel;Birth surplus or deficit;-21
2011;95 Hiltrup-Ost;Birth surplus or deficit;-13
2011;96 Hiltrup-Mitte;Birth surplus or deficit;-32
2011;97 Hiltrup-West;Birth surplus or deficit;31
2011;98 Amelsbueren;Birth surplus or deficit;-22
2012;11 Aegidii;Birth surplus or deficit;-27
2012;12 ueberwasser;Birth surplus or deficit;-3
2012;13 Dom;Birth surplus or deficit;0
2012;14 Buddenturm;Birth surplus or deficit;-42
2012;15 Martini;Birth surplus or deficit;-3
2012;21 Pluggendorf;Birth surplus or deficit;-46
2012;22 Josef;Birth surplus or deficit;50
2012;23 Bahnhof;Birth surplus or deficit;0
2012;24 Hansaplatz;Birth surplus or deficit;32
2012;25 Mauritz-West;Birth surplus or deficit;41
2012;26 Schlachthof;Birth surplus or deficit;17
2012;27 Kreuz;Birth surplus or deficit;41
2012;28 Neutor;Birth surplus or deficit;12
2012;29 Schloss;Birth surplus or deficit;8
2012;31 Aaseestadt;Birth surplus or deficit;-18
2012;32 Geist;Birth surplus or deficit;-5
2012;33 Schuetzenhof;Birth surplus or deficit;10
2012;34 Dueesberg;Birth surplus or deficit;-29
2012;43 Hafen;Birth surplus or deficit;3
2012;44 Herz-Jesu;Birth surplus or deficit;-74
2012;45 Mauritz-Mitte;Birth surplus or deficit;23
2012;46 Rumphorst;Birth surplus or deficit;11
2012;47 Uppenberg;Birth surplus or deficit;17
2012;51 Gievenbeck;Birth surplus or deficit;54
2012;52 Sentrup;Birth surplus or deficit;-7
2012;54 Mecklenbeck;Birth surplus or deficit;0
2012;56 Albachten;Birth surplus or deficit;3
2012;57 Roxel;Birth surplus or deficit;25
2012;58 Nienberge;Birth surplus or deficit;15
2012;61 Coerde;Birth surplus or deficit;62
2012;62 Kinderhaus-Ost;Birth surplus or deficit;11
2012;63 Kinderhaus-West;Birth surplus or deficit;30
2012;68 Sprakel;Birth surplus or deficit;3
2012;71 Mauritz-Ost;Birth surplus or deficit;34
2012;76 Gelmer-Dyckburg;Birth surplus or deficit;10
2012;77 Handorf;Birth surplus or deficit;-9
2012;81 Gremmendorf-West;Birth surplus or deficit;3
2012;82 Gremmendorf-Ost;Birth surplus or deficit;11
2012;86 Angelmodde;Birth surplus or deficit;-11
2012;87 Wolbeck;Birth surplus or deficit;0
2012;91 Berg Fidel;Birth surplus or deficit;-32
